CASEID,acu3c,aprcu3c,asepcu3c,cu3rnkc,cu3_190,nsepevr,totclwc,agec,agedc,agegr10,agegr5,chh0014c,chrinhdc,chrtime6,famtype,hsdsizec,livarr12,marstat,multigen,prtypec,sex,sexpr,gu_110,gu_120,gu_130c,gu_150c,gu_170,gu_180,gu_190,gu_210,aclma1c,adivma1c,adthma1c,agema1c,aprma1c,asepma1c,ma1rnkc,ma1_150,ma1_165,ma1_170,ma1_220,ma1_230,wevermar,apardivc,aparsepc,achb1c,achdmpl,achd_1c,achj1c,chddecc,chdinftc,chdinptc,chdoutc,hhdchd1,hhdsta1,rci10_1,rci65_1,totchdc
16794,99.6,99.6,99.6,96,6,0,0,40,40.7,3, 6,1,1,2,2,3, 3, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,37.0, 4,  4,99.6,0,1,0,0,1,1,2,6, 1
16795,99.6,99.6,99.6,96,6,1,2,32,32.5,2, 4,0,0,1,1,2, 2, 2,2,3,1,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16796,99.6,99.6,99.6,96,6,0,0,48,48.3,4, 7,0,0,1,6,1, 1, 6,2,0,1,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,5,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16797,99.6,99.6,99.6,96,6,0,1,30,30.3,2, 4,0,0,1,1,2, 2, 2,2,2,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16798,99.6,99.6,99.6,96,6,0,0,42,42.3,3, 6,1,1,3,2,3, 3, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,32.8,96,  9,99.6,0,1,0,0,1,1,2,6, 1
16799,99.6,99.6,99.6,96,6,1,1,19,19.4,1, 1,2,0,1,2,6,10, 6,2,0,1,0,2,1,6,6,7,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16800,99.6,99.6,99.6,96,6,0,0,66,66.2,6,11,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,39.3,96, 27,99.6,0,0,0,1,2,3,2,6, 1
16801,99.6,99.6,99.6,96,6,0,0,36,36.8,3, 5,3,3,5,2,5, 3, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,31.8, 0,  5,99.6,0,3,0,0,1,1,1,6, 3
16802,99.6,99.6,99.6,96,6,0,0,69,69.0,6,11,0,0,1,1,2, 2, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,29.1,96, 40,99.6,0,0,0,3,2,3,2,6, 3
16803,99.6,99.6,99.6,96,6,0,0,80,80.0,7,14,0,0,1,6,1, 1, 6,2,0,1,0,1,2,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,4,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16804,99.6,99.6,99.6,96,6,0,1,25,25.2,2, 3,0,0,1,1,2, 2, 2,2,2,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,13,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16805,99.6,99.6,99.6,96,6,1,1,62,62.4,5,10,0,0,1,1,2, 2, 1,2,3,2,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16806,99.6,99.6,99.6,96,6,0,0,63,63.3,5,10,0,0,1,1,2, 2, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,22.6,96, 40,99.6,0,0,0,2,2,3,2,6, 2
16807,99.6,99.6,99.6,96,6,0,0,80,80.0,7,14,0,0,1,6,1, 1, 3,2,0,2,0,1,1,6,6,1,1,1,1,99.6,99.6,64.8,24.6,20.5,99.6, 1,6,1,3,6,2,4,96,96,29.8,96, 57,99.6,0,0,0,1,2,3,2,6, 1
16808,99.6,99.6,99.6,96,6,0,0,80,80.0,7,14,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,26.6,96, 58,99.6,0,0,0,3,2,3,2,6, 3
16809,99.6,99.6,99.6,96,6,1,0,37,37.4,3, 5,2,2,3,5,5, 7, 4,1,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,24.7, 5, 13,99.6,0,2,0,1,1,1,2,6, 5
16810,99.6,99.6,99.6,96,6,0,0,42,43.0,3, 6,3,3,6,2,5, 3, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,29.8,96, 14,99.6,0,3,0,0,1,1,2,6, 3
16811,99.6,99.6,99.6,96,6,0,0,48,48.0,4, 7,1,2,4,2,4, 3, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,16,33.6,96, 14,99.6,0,2,0,0,1,1,2,6, 2
16812,99.6,99.6,99.6,96,6,0,0,31,31.9,2, 4,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16813,99.6,99.6,99.6,96,6,1,1,24,24.4,1, 2,0,0,1,2,3,10, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,5,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16814,99.6,99.6,99.6,96,6,1,1,68,68.3,6,11,0,0,1,1,2, 2, 2,2,2,2,1,1,1,6,6,2,6,1,1,99.6,34.5,99.6,23.4,23.6,32.2, 1,2,1,1,6,2,6,96,96,24.9,96, 43,99.6,0,0,0,2,2,3,1,6, 2
